x;z;H
0;52;107.763
50;52.1346;107.254
100;52.2692;106.744
150;52.4038;106.235
200;52.5385;105.725
250;52.6731;105.216
300;52.8077;104.706
350;52.9423;104.197
400;53.0769;103.687
450;53.2115;103.178
500;53.3462;102.669
550;53.4808;102.159
600;53.6154;101.65
650;53.75;101.14
700;53.8846;100.631
750;54.0192;100.121
800;54.1538;99.6117
850;54.2885;99.1022
900;54.4231;98.5928
950;54.5577;98.0833
1000;54.6923;97.5738
1050;54.8269;97.0644
1100;54.9615;96.5549
1150;55.0962;96.0454
1200;55.2308;95.5359
1250;55.3654;95.0265
1300;55.5;94.517
1350;55.6346;94.0075
1400;55.7692;93.4981
1450;55.9038;92.9886
1500;56.0385;92.4791
1550;56.1731;91.9696
1600;56.3077;91.4602
1650;56.4423;90.9507
1700;56.5769;90.4412
1750;56.7115;89.9318
1800;56.8462;89.4223
1850;56.9808;88.9128
1900;57.1154;88.4033
1950;57.25;87.8939
2000;57.3846;87.3844
2050;57.5192;86.8749
2100;57.6538;86.3655
2150;57.7885;85.856
2200;57.9231;85.3465
2250;58.0577;84.837
2300;58.1923;84.3276
2350;58.3269;83.8181
2400;58.4615;83.3086
2450;58.5962;82.7992
2500;58.7308;82.2897
2550;58.8654;81.7802
2600;59;81.2707
